Chips;pers 1;pers 2;pers 3;pers 4;pers 5;pers 6;pers 7;pers 8;pers 9;pers 10;pers 11;pers 12
Pomme frite;5;4,5;4,5;4;7;5;6;5;7;6;5;5
Indian Curry;7,5;6;4,5;7;5;7;7;3;5;8;6;7
Miel Moutarde;6,5;9,5;8,5;7;4;3;9;4;6;5;5;6
Chili menthe;0,5;6;1;2;0;5;8;6;0;0;0;1
Poivron grillé chorizo;1,5;5;1,5;3;0;2;6;0;1;0;1;6
Pizza;8;6,5;8;8;6;10;8;7;8;8;8;5
Tomate seché vinaigre;5,5;7;8,5;5;8;0;2;0;4;3;6;7
Bacon;6,5;8,5;5;4;2;3;0;7;8;8;3;7,5
Cheddar oignon;9;9;7;7;7;2;2;8;9;9;3;8,5
Sel + vinaigre;10;1;10;5;10;5;0;0;9;8;10;0
confit d'oignon;5;8;3;7;5;0;6;0;7;8;0;2
Aïoli;2;8,5;2;6;2;2;5;0;3;0;2;1
Yakitori;7;7;6;8;3;5;5;9;5;6;6;6,5
Bleu Pancetta;0;7,5;5;0;2;0;0;0;0;0;0;0
Fromage du Jura;7;7,5;6;3;5;4;7;4;8;8;1;9,5
Pesto mozza;8;9;8;7;4;9;5;5;10;9;9;7
Fromage frais herbes;6,5;6;6;7;3;3;2;3;6;6;7;6,5
Cèpes;5,5;8;5;0;0;0;0;0;1;2;0;3
Tartiflettes;7,5;7,5;7,5;8;7;6;6;5;9;9;3,5;9
Camembert;3;7,5;0;1;2;4;0;3;2;5;1;10
petits oignons;7;9,5;3;7;9;0;6;0;5;4;2;2
poulet;6;7;5;4;5;3;0;7;7;7;9;8
côte de boeuf;9;9;3;3;7;9;0;0;9;10;5;10
pili pili ;3;7,5;5;4;2;7;2;0;0;8;8;6
sauce barbecue;8,5;8,5;7,5;5;7;8;3;2;8;8;2;9
chèvre piment d'espelette;7,5;9;9;0;2;0;2;8;6,5;9;0;9
beurre salé;5;5,5;3;6;9;5;7;4;3;0;2;0
